,name,suggest_time
0,Gyeongbokgung Palace,2-3 hours
1,Bukhansan National Park,More than 3 hours
2,Myeongdong Shopping Street,
3,Changdeokgung Palace,1-2 hours
4,The War Memorial of Korea,1-2 hours
5,National Museum of Korea,2-3 hours
6,Insadong,2-3 hours
7,Trickeye Museum Seoul,1-2 hours
8,Lotte World Tower & Mall,More than 3 hours
9,KTX (Korea Train Express),
10,Seoul Metro,
11,Hangang Park,1-2 hours
12,N Seoul Tower,1-2 hours
13,Namsan Park,
14,Myeongdong NANTA Theater,
15,Cheonggyecheon Stream,
16,Jogyesa Temple,1-2 hours
17,Bongeunsa Temple,< 1 hour
18,Haneul Park,
19,Bukchon Hanok Village,
20,Hongik University Street,1-2 hours
21,Ewha Womans University,
22,Dongdaemun Design Plaza (DDP),
23,Starfield Library,1-2 hours
24,Kwangjang Market,1-2 hours
25,Love Museum,< 1 hour
26,Seoul Forest,
27,Yeouido Hangang Park,
28,Leeum Samsung Museum of Art,
29,Seoul Sky,2-3 hours
